fips_st_cnty,fips_st,cnty_name,st_name,rurality_tier,rural_region,rural_urban_contnm_23,hpsa_binary,phys_nf_prim_care_pc_exc_rsdt_23,md_nf_card_dis_23,md_nf_emerg_med_23,pcp_per_10k,cardio_per_10k,em_per_10k,pcp_per_10k_pctile,cardio_per_10k_pctile,em_per_10k_pctile,primary_access_score,cardiology_access_score,emergency_access_score,primary_access_score_pctile,cardiology_access_score_pctile,emergency_access_score_pctile,primary_access_pctile,cardiology_access_pctile,emergency_access_pctile,primary_access_imputed,cardiology_access_imputed,emergency_access_imputed,pct_65plus,pct_under65,mort_allcause,mort_cancer,mort_stroke,mort_heart,mort_resp,mort_diabetes,pct_poverty,pct_uninsured,median_hh_income,pct_bachelor,smoking_pct,obesity_pct,popn_est_23,md_nf_pulm_dis_23
01001,01,Autauga,Alabama,Urban,Non-rural,2.0,1,22.0,0.0,0.0,3.6458851214742634,0.0,0.0,40.17453135100194,31.108597285067873,21.49321266968326,11.991965957062375,0.6081340572954488,0.7065539525170671,83.49983886561392,71.15694489203996,55.46245568804383,83.49983886561392,71.15694489203996,55.46245568804383,0,0,0,16.782672102349938,83.21732789765007,1075.5361108349077,195.55202015180143,66.28882039044115,116.00543568327203,53.03105631235292,41.43051274402572,11.373968537166974,7.190143122138834,68315,16.736339205733056,14.5,39.8,60342.0,0.0
01003,01,Baldwin,Alabama,Urban,Non-rural,3.0,1,172.0,10.0,37.0,6.784822509832075,0.394466424990237,1.4595257724638768,74.78991596638656,78.02197802197803,85.32643826761473,9.501497834858,1.111678449294041,1.525588173112004,75.12085078955849,86.43248469223333,76.05543022881082,75.12085078955849,86.43248469223333,76.05543022881082,0,0,0,22.059745884729022,77.94025411527097,1131.7241732969899,209.06720524482557,53.647433798672225,92.30514344771545,62.720161573447676,34.71304539914085,10.21395057049129,9.198868991517436,71039,20.041671157093077,13.3,35.2,253507.0,8.0
01005,01,Barbour,Alabama,Suburban,Non-rural,6.0,1,7.0,0.0,0.0,2.847264592231035,0.0,0.0,29.37944408532644,31.108597285067873,21.49321266968326,0.16967427167318883,0.0,0.024239181667598406,2.4170157911698356,10.715436674186272,13.922010957138253,2.4170157911698356,10.715436674186272,13.922010957138253,0,0,0,20.581655480984338,79.41834451901566,1378.88956680903,256.2538133007931,52.877770998576366,77.28289607484238,65.08033353670938,,24.16365383735298,9.438437110584074,39712,6.602545968882602,20.2,46.8,24585.0,0.0
01007,01,Bibb,Alabama,Urban,Non-rural,1.0,1,26.0,0.0,0.0,11.889518931772452,0.0,0.0,95.28118939883645,31.108597285067873,21.49321266968326,47.6718403131081,3.016418702851169,7.085782427025974,98.93651305188527,98.4531098936513,98.4531098936513,98.93651305188527,98.4531098936513,98.4531098936513,0,0,0,18.2869946954454,81.7130053045546,1371.8675690506675,224.0717029449424,54.8747027620267,109.7494055240534,73.16627034936894,,20.622960261086583,7.909756864860007,50669,6.574568288854003,19.9,43.7,21868.0,0.0
01009,01,Blount,Alabama,Urban,Non-rural,1.0,1,10.0,0.0,1.0,1.6717935000668718,0.0,0.16717935000668716,14.964447317388494,31.108597285067873,44.21460892049127,15.884185754299306,1.7864171878108672,3.0713948759291103,89.5584917821463,94.47309055752497,91.45987753786659,89.5584917821463,94.47309055752497,91.45987753786659,0,0,0,19.193861174267752,80.80613882573225,1355.824528554233,212.31777450849273,63.528153002541124,61.85635950247425,85.26146850341046,21.73331550086933,14.173187897053033,10.068216057010343,57440,9.407844770561285,16.6,36.0,59816.0,0.0
01011,01,Bullock,Alabama,Rural,South,8.0,1,2.0,0.0,0.0,2.020814388198444,0.0,0.0,18.76212023270847,31.108597285067873,21.49321266968326,0.0718341858019514,0.0,0.0,1.9336126329358685,10.715436674186272,6.348694811472769,1.9336126329358685,10.715436674186272,6.348694811472769,0,0,0,19.268465191472163,80.73153480852784,1414.5700717389107,222.28958270182883,,,,,27.943011647254572,11.386522075910147,36136,6.875349357182784,24.9,51.0,9897.0,0.0
01013,01,Butler,Alabama,Suburban,Non-rural,6.0,1,5.0,0.0,0.0,2.7200522250027204,0.0,0.0,27.569489334195218,31.108597285067873,21.49321266968326,1.0023661473545258,0.0,0.11567702701875125,10.054785691266515,10.715436674186272,20.866902997099583,10.054785691266515,10.715436674186272,20.866902997099583,0,0,0,22.11946469372212,77.88053530627788,1632.031335001632,272.005222500272,114.24219345011426,174.08334240017408,87.04167120008704,,21.107656015440703,10.816079237131868,44429,7.75667118950701,19.0,40.7,18382.0,0.0
01015,01,Calhoun,Alabama,Urban,Non-rural,3.0,1,60.0,5.0,6.0,5.153355263722956,0.429446271976913,0.5153355263722955,59.66386554621849,79.63800904977376,58.88817065287654,5.307616391519687,0.45415383793386715,0.261086479537696,49.790525298098615,63.06799871092491,31.485659039639057,49.790525298098615,63.06799871092491,31.485659039639057,0,0,0,18.745329771792253,81.25467022820774,1512.5097699026876,234.47766449939448,47.239089917460426,170.91961624681136,100.49042764259764,27.48456140652243,18.039163328882953,10.700573337235928,54339,11.526523165803043,16.3,38.6,116429.0,3.0
01017,01,Chambers,Alabama,Suburban,Non-rural,6.0,1,12.0,0.0,1.0,3.521230083042343,0.0,0.29343584025352853,38.23529411764706,31.108597285067873,48.83645765998707,6.659089035214792,0.614707137191493,0.6358891222397904,58.717370286819204,71.47921366419594,50.757331614566546,58.717370286819204,71.47921366419594,50.757331614566546,0,0,0,21.142052290266733,78.85794770973327,1534.6694445259543,261.1578978256404,88.03075207605856,102.70254408873501,90.96511047859386,76.29331846591742,17.87814631851329,10.643707384722061,48805,9.20019428478912,18.2,41.6,34079.0,0.0
01019,01,Cherokee,Alabama,Rural,South,8.0,1,10.0,0.0,0.0,3.8962050962362658,0.0,0.0,43.50355526826115,31.108597285067873,21.49321266968326,5.857366188573587,0.5495263113355139,0.27060020439668087,53.528843055107956,68.19207218820496,32.00128907508862,53.528843055107956,68.19207218820496,32.00128907508862,0,0,0,25.169484921686276,74.83051507831372,1667.5757811891217,303.90399750642877,62.33928153978025,93.50892230967038,148.05579365697812,70.13169173225279,14.259063995457863,10.104112649088517,46621,8.260001079738704,17.5,39.5,25666.0,0.0
