Variable,Units,N,Missing (%),Mean,SD,Median,Min,Max
RUCC Code,1–9,3103,0.0,5.22,2.92,6.0,1.0,9.0
"PCPs per 10,000","per 10,000",3094,0.3,5.02,3.82,4.36,0.0,62.15
Primary Care E2SFCA Score,"per 10,000",3103,0.0,7.81,10.75,5.34,0.0,320.61
"Cardiologists per 10,000","per 10,000",3094,0.3,0.24,0.54,0.0,0.0,11.76
Cardiology E2SFCA Score,"per 10,000",3103,0.0,0.55,1.4,0.29,0.0,61.07
"EM Physicians per 10,000","per 10,000",3094,0.3,0.68,1.19,0.32,0.0,26.14
Emergency E2SFCA Score,"per 10,000",3103,0.0,1.2,2.22,0.61,0.0,61.07
Population ≥65 (%),%,3103,0.0,20.9,4.92,20.49,5.66,57.15
Current Smoking (%),%,2916,6.0,16.05,3.47,15.8,6.6,40.3
Obesity (%),%,2916,6.0,37.55,4.74,38.1,17.1,54.0
All-Cause Mortality,"per 100,000",3072,1.0,1289.55,327.48,1297.5,275.73,3198.41
IHD Mortality,"per 100,000",2642,14.9,148.61,59.69,140.75,31.26,447.43
Stroke Mortality,"per 100,000",1979,36.2,59.26,20.06,56.67,17.77,198.13
Respiratory Mortality,"per 100,000",2186,29.6,71.49,32.0,67.63,8.83,226.32
